,w_star,method,gamma,N
236,"[4.07873595e-11 4.47754790e-11 1.23918616e-01 8.76081384e-01
 5.76854706e-11]",Bayesian,0.1,200
237,"[0.00000000e+00 7.49400542e-16 5.55111512e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
238,"[9.43689571e-16 2.77555756e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
239,"[0.00000000e+00 1.19348975e-15 0.00000000e+00 1.00000000e+00
 1.27675648e-15]",Bayesian,1.0,200
240,"[0.00000000e+00 0.00000000e+00 2.55351296e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
241,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.37657116e-16]",Bayesian,5.0,100
242,"[4.82923456e-01 0.00000000e+00 8.63024929e-17 5.17076544e-01
 6.80011603e-16]",Bayesian,5.0,200
243,[0.         0.         0.00890213 0.99109787 0.        ],Bayesian,0.1,50
244,[0.        0.        0.0129754 0.9870246 0.       ],Bayesian,0.1,100
245,[0.         0.         0.30017996 0.69982004 0.        ],Bayesian,0.1,200
246,[0.         0.         0.05816363 0.94183637 0.        ],Bayesian,1.0,50
247,"[4.44089210e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.33226763e-15]",Bayesian,1.0,100
248,"[0.00000000e+00 2.10942375e-15 0.00000000e+00 1.00000000e+00
 5.63438185e-15]",Bayesian,1.0,200
249,"[1.60134082e-01 0.00000000e+00 3.20923843e-17 8.39865918e-01
 2.51534904e-17]",Bayesian,5.0,50
250,"[9.20516875e-02 1.24900090e-16 2.77555756e-17 9.07948313e-01
 0.00000000e+00]",Bayesian,5.0,100
251,"[1.39674320e-01 2.08166817e-17 0.00000000e+00 8.60325680e-01
 0.00000000e+00]",Bayesian,5.0,200
252,"[6.32059499e-12 6.90991004e-12 1.14838607e-01 8.85161393e-01
 8.21568426e-12]",Bayesian,0.1,50
253,"[0.00000000e+00 0.00000000e+00 3.91717214e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100
254,"[5.74911773e-14 0.00000000e+00 2.36400634e-01 7.63599366e-01
 0.00000000e+00]",Bayesian,0.1,200
255,"[0.00000000e+00 2.60902411e-15 0.00000000e+00 1.00000000e+00
 2.77555756e-17]",Bayesian,1.0,50
256,[0. 0. 0. 1. 0.],Bayesian,1.0,100
257,"[6.38378239e-16 1.52655666e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
258,"[3.85592513e-01 2.07299455e-16 0.00000000e+00 6.14407487e-01
 1.76941795e-16]",Bayesian,5.0,50
259,"[2.01227923e-16 0.00000000e+00 6.98226199e-17 1.00000000e+00
 4.36282954e-16]",Bayesian,5.0,100
260,"[1.10348244e-01 1.63064007e-16 0.00000000e+00 8.89651756e-01
 3.46944695e-18]",Bayesian,5.0,200
261,"[1.50607304e-12 4.13413748e-12 0.00000000e+00 1.00000000e+00
 7.66370301e-12]",Bayesian,0.1,50
262,"[6.01960056e-13 5.13999358e-12 4.92672775e-01 5.07327225e-01
 9.70095578e-12]",Bayesian,0.1,100
263,[0.         0.         0.02602645 0.97397355 0.        ],Bayesian,0.1,200
264,"[5.55111512e-17 2.22044605e-16 0.00000000e+00 1.00000000e+00
 9.71445147e-16]",Bayesian,1.0,50
265,"[5.55111512e-17 0.00000000e+00 9.43689571e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
266,"[1.66533454e-16 0.00000000e+00 5.55111512e-17 1.00000000e+00
 1.88737914e-15]",Bayesian,1.0,200
267,"[6.08585511e-01 0.00000000e+00 7.45931095e-17 3.91414489e-01
 1.40512602e-16]",Bayesian,5.0,50
268,"[1.56973343e-01 8.67361738e-17 1.00613962e-16 8.43026657e-01
 0.00000000e+00]",Bayesian,5.0,100
269,"[9.71445147e-17 0.00000000e+00 1.42247325e-16 1.00000000e+00
 3.46944695e-18]",Bayesian,5.0,200
270,"[1.01663122e-12 1.83703053e-12 1.00000000e+00 0.00000000e+00
 4.14807078e-12]",Bayesian,0.1,50
271,[0.         0.         0.19828193 0.80171807 0.        ],Bayesian,0.1,100
272,"[1.11441412e-12 3.79815623e-12 0.00000000e+00 1.00000000e+00
 7.07373049e-12]",Bayesian,0.1,200
273,"[8.60422844e-16 0.00000000e+00 1.08246745e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
274,"[3.53405997e-14 2.65762598e-14 1.34066639e-02 9.86593336e-01
 4.76572504e-14]",Bayesian,1.0,100
275,"[2.78151572e-14 2.67296769e-14 4.88779865e-02 9.51122014e-01
 4.32427131e-14]",Bayesian,1.0,200
276,"[1.43699510e-01 2.75387352e-16 3.44590108e-02 8.21841480e-01
 0.00000000e+00]",Bayesian,5.0,50
277,"[3.55258970e-01 6.31439345e-16 0.00000000e+00 6.44741030e-01
 6.00214323e-16]",Bayesian,5.0,100
278,"[0.00000000e+00 4.30211422e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
279,"[4.28568242e-11 4.71474835e-11 1.51788509e-01 8.48211491e-01
 5.87126894e-11]",Bayesian,0.1,50
280,[0.         0.         0.33166318 0.66833682 0.        ],Bayesian,0.1,100
281,[0.         0.         0.39272823 0.60727177 0.        ],Bayesian,0.1,200
282,"[0.00000000e+00 0.00000000e+00 3.05311332e-15 1.00000000e+00
 6.82787160e-15]",Bayesian,1.0,50
283,"[0.00000000e+00 1.22124533e-15 1.38777878e-15 1.00000000e+00
 1.30451205e-15]",Bayesian,1.0,100
284,"[0.00000000e+00 1.08246745e-15 6.13398221e-15 1.00000000e+00
 8.16013923e-15]",Bayesian,1.0,200
285,"[1.00000000e+00 0.00000000e+00 1.73472348e-17 0.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
286,"[1.11022302e-16 1.31838984e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
287,"[6.72475901e-01 0.00000000e+00 2.77555756e-17 3.27524099e-01
 0.00000000e+00]",Bayesian,5.0,200
288,[0.         0.         0.52293366 0.47706634 0.        ],Bayesian,0.1,50
289,[0.         0.         0.06476545 0.93523455 0.        ],Bayesian,0.1,100
290,[0.         0.         0.26154029 0.73845971 0.        ],Bayesian,0.1,200
291,"[1.78519653e-16 0.00000000e+00 1.34436050e-01 8.65563950e-01
 0.00000000e+00]",Bayesian,1.0,50
292,"[0.00000000e+00 1.11022302e-16 9.43689571e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
293,"[5.55111512e-17 0.00000000e+00 8.32667268e-16 1.00000000e+00
 9.71445147e-16]",Bayesian,1.0,200
294,"[1.37353279e-01 0.00000000e+00 3.12250226e-17 8.62646721e-01
 1.04083409e-16]",Bayesian,5.0,50
295,"[1.72508366e-01 1.66533454e-16 3.46944695e-18 8.27491634e-01
 0.00000000e+00]",Bayesian,5.0,100
296,"[5.55111512e-17 3.71230824e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
297,"[4.81176290e-11 5.09381694e-11 2.56001439e-02 9.74399856e-01
 6.06803423e-11]",Bayesian,0.1,50
298,[0.         0.         0.71270227 0.28729773 0.        ],Bayesian,0.1,100
299,"[2.51047928e-12 6.27657258e-12 3.40370817e-01 6.59629183e-01
 9.02249039e-12]",Bayesian,0.1,200
300,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.66373598e-15]",Bayesian,1.0,50
301,"[6.10622664e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
302,"[0.00000000e+00 1.66533454e-16 6.10622664e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
303,"[1.04833169e-01 0.00000000e+00 4.85722573e-17 8.95166831e-01
 6.24500451e-17]",Bayesian,5.0,50
304,"[2.21502883e-02 3.33066907e-16 0.00000000e+00 9.77849712e-01
 0.00000000e+00]",Bayesian,5.0,100
305,"[2.66038505e-01 0.00000000e+00 5.37764278e-17 7.33961495e-01
 0.00000000e+00]",Bayesian,5.0,200
306,"[6.28231185e-11 6.44099322e-11 1.37897891e-01 8.62102109e-01
 7.85511713e-11]",Bayesian,0.1,50
307,[0.         0.         0.15584603 0.84415397 0.        ],Bayesian,0.1,100
308,[0.         0.         0.28062646 0.71937354 0.        ],Bayesian,0.1,200
309,"[0.00000000e+00 2.05391260e-15 0.00000000e+00 1.00000000e+00
 1.91513472e-15]",Bayesian,1.0,50
310,"[0.00000000e+00 0.00000000e+00 2.66453526e-15 1.00000000e+00
 4.66293670e-15]",Bayesian,1.0,100
311,"[0.00000000e+00 0.00000000e+00 1.49880108e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
312,"[2.38845542e-01 0.00000000e+00 0.00000000e+00 7.61154458e-01
 7.52869989e-16]",Bayesian,5.0,50
313,"[7.27495537e-02 2.68882139e-16 2.51742309e-01 6.75508137e-01
 0.00000000e+00]",Bayesian,5.0,100
314,"[2.23751284e-01 3.40005801e-16 0.00000000e+00 7.76248716e-01
 0.00000000e+00]",Bayesian,5.0,200
315,"[4.16952239e-13 2.59215773e-12 4.07323138e-01 5.92676862e-01
 5.05818353e-12]",Bayesian,0.1,50
316,"[3.37891342e-12 1.15076412e-11 3.27792263e-01 6.72207737e-01
 1.79290562e-11]",Bayesian,0.1,100
317,[0.         0.         0.12064723 0.87935277 0.        ],Bayesian,0.1,200
318,[0.         0.         0.06694198 0.93305802 0.        ],Bayesian,1.0,50
319,"[0.00000000e+00 0.00000000e+00 1.44328993e-15 1.00000000e+00
 1.24900090e-15]",Bayesian,1.0,100
320,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 7.99360578e-15]",Bayesian,1.0,200
321,"[3.96239872e-01 4.11996826e-18 1.99493200e-17 6.03760128e-01
 8.65193334e-17]",Bayesian,5.0,50
322,"[2.77555756e-16 4.85722573e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
323,"[4.49401873e-01 1.44849410e-16 8.19656842e-17 5.50598127e-01
 0.00000000e+00]",Bayesian,5.0,200
324,"[4.77182183e-12 1.13836440e-11 1.00000000e+00 0.00000000e+00
 2.04146144e-11]",Bayesian,0.1,50
325,"[8.22609758e-12 7.87707276e-12 1.26653415e-01 8.73346585e-01
 1.02475517e-11]",Bayesian,0.1,100
326,[0.         0.         0.78815829 0.21184172 0.        ],Bayesian,0.1,200
327,"[3.58633078e-14 3.22915724e-14 6.22868025e-03 9.93771320e-01
 5.91228248e-14]",Bayesian,1.0,50
328,"[9.43689571e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
329,"[6.38378239e-16 4.16333634e-16 0.00000000e+00 1.00000000e+00
 2.49800181e-15]",Bayesian,1.0,200
330,"[5.48931131e-01 0.00000000e+00 0.00000000e+00 4.51068869e-01
 1.33573708e-16]",Bayesian,5.0,50
331,"[4.03692512e-01 0.00000000e+00 0.00000000e+00 5.96307488e-01
 4.62086966e-16]",Bayesian,5.0,100
332,"[1.88876162e-01 7.97972799e-17 0.00000000e+00 8.11123838e-01
 3.50414142e-16]",Bayesian,5.0,200
333,[0.000000e+00 0.000000e+00 6.305928e-12 1.000000e+00 0.000000e+00],Bayesian,0.1,50
334,[0.0000000e+00 0.0000000e+00 2.0113633e-12 1.0000000e+00 0.0000000e+00],Bayesian,0.1,100
335,"[9.49233433e-14 0.00000000e+00 3.96013023e-01 6.03986977e-01
 0.00000000e+00]",Bayesian,0.1,200
336,"[1.74212325e-14 2.53907797e-14 3.71293399e-02 9.62870660e-01
 3.51243608e-14]",Bayesian,1.0,50
337,"[1.10940615e-14 1.93307649e-14 3.74181710e-03 9.96258183e-01
 2.19889764e-14]",Bayesian,1.0,100
338,"[1.63757896e-15 0.00000000e+00 5.55111512e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
339,"[3.03450169e-01 0.00000000e+00 2.35922393e-16 6.96549831e-01
 1.05818132e-16]",Bayesian,5.0,50
340,"[8.46462392e-02 0.00000000e+00 3.74922440e-02 8.77861517e-01
 1.59811400e-16]",Bayesian,5.0,100
341,"[1.25878426e-01 0.00000000e+00 0.00000000e+00 8.74121574e-01
 1.45716772e-16]",Bayesian,5.0,200
342,[0.0000000e+00 0.0000000e+00 1.0000000e+00 3.9809267e-12 0.0000000e+00],Bayesian,0.1,50
343,"[1.73811415e-11 1.98022431e-11 1.68618311e-02 9.83138169e-01
 2.71028065e-11]",Bayesian,0.1,100
344,"[9.89127863e-13 1.47217661e-12 4.43053924e-02 9.55694608e-01
 1.42702206e-12]",Bayesian,0.1,200
345,"[0.00000000e+00 0.00000000e+00 1.67921232e-14 1.00000000e+00
 8.16013923e-15]",Bayesian,1.0,50
346,"[3.82414973e-14 3.25950245e-14 1.08374616e-01 8.91625384e-01
 5.48387696e-14]",Bayesian,1.0,100
347,[0.         0.         0.03454023 0.96545977 0.        ],Bayesian,1.0,200
348,"[8.84459820e-01 0.00000000e+00 1.00613962e-16 1.15540180e-01
 0.00000000e+00]",Bayesian,5.0,50
349,"[1.66533454e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.31838984e-16]",Bayesian,5.0,100
350,[0.26016354 0.         0.         0.73983646 0.        ],Bayesian,5.0,200
351,[0.         0.         0.04799856 0.95200144 0.        ],Bayesian,0.1,50
352,"[5.39625927e-11 5.70458141e-11 1.30188877e-01 8.69811123e-01
 7.10182939e-11]",Bayesian,0.1,100
353,[0.         0.         0.26835776 0.73164224 0.        ],Bayesian,0.1,200
354,[0. 0. 0. 1. 0.],Bayesian,1.0,50
355,"[8.60422844e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
356,"[0.00000000e+00 1.05471187e-15 1.44328993e-15 1.00000000e+00
 6.66133815e-15]",Bayesian,1.0,200
357,[0.20533294 0.         0.         0.79466706 0.        ],Bayesian,5.0,50
358,"[8.54162301e-01 0.00000000e+00 0.00000000e+00 1.45837699e-01
 4.23272528e-16]",Bayesian,5.0,100
359,"[3.78392272e-02 0.00000000e+00 9.02056208e-17 9.62160773e-01
 0.00000000e+00]",Bayesian,5.0,200
360,"[0.00000000e+00 0.00000000e+00 2.29508079e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
361,"[6.31390154e-12 1.19071258e-11 2.84045382e-01 7.15954618e-01
 1.59488940e-11]",Bayesian,0.1,100
362,"[1.49298705e-11 1.60185609e-11 3.42002287e-02 9.65799771e-01
 2.12815101e-11]",Bayesian,0.1,200
363,"[1.94289029e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.24260668e-15]",Bayesian,1.0,50
364,"[0.00000000e+00 8.88178420e-16 0.00000000e+00 1.00000000e+00
 2.41473508e-15]",Bayesian,1.0,100
365,"[1.44328993e-15 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
366,"[9.70566049e-01 1.94045084e-16 2.94339508e-02 3.03061612e-16
 2.28766658e-17]",Bayesian,5.0,50
367,"[2.48306281e-01 0.00000000e+00 7.97972799e-17 7.51693719e-01
 0.00000000e+00]",Bayesian,5.0,100
368,"[4.20684020e-01 0.00000000e+00 1.62431931e-02 5.63072787e-01
 1.87783816e-16]",Bayesian,5.0,200
369,"[0.00000000e+00 1.18715505e-12 4.23538507e-01 5.76461493e-01
 1.67392884e-12]",Bayesian,0.1,50
370,[0.         0.         0.65739138 0.34260862 0.        ],Bayesian,0.1,100
371,[0.         0.         0.14859925 0.85140075 0.        ],Bayesian,0.1,200
372,[0.         0.         0.01897995 0.98102005 0.        ],Bayesian,1.0,50
373,"[0.00000000e+00 0.00000000e+00 2.49800181e-16 1.00000000e+00
 2.16493490e-15]",Bayesian,1.0,100
374,"[0.00000000e+00 0.00000000e+00 2.49800181e-16 1.00000000e+00
 5.71764858e-15]",Bayesian,1.0,200
375,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 4.85722573e-17]",Bayesian,5.0,50
376,"[4.50020327e-01 2.77555756e-17 3.98986399e-17 5.49979673e-01
 0.00000000e+00]",Bayesian,5.0,100
377,[0.5291475 0.        0.        0.4708525 0.       ],Bayesian,5.0,200
378,[0.         0.         0.02438153 0.97561847 0.        ],Bayesian,0.1,50
379,[0.         0.         0.34198427 0.65801573 0.        ],Bayesian,0.1,100
380,[0.         0.         0.28077545 0.71922455 0.        ],Bayesian,0.1,200
381,"[3.17276332e-15 1.85557797e-15 2.39219075e-01 7.60780925e-01
 1.28525637e-14]",Bayesian,1.0,50
382,"[0.00000000e+00 0.00000000e+00 4.21884749e-15 1.00000000e+00
 5.32907052e-15]",Bayesian,1.0,100
383,"[0.00000000e+00 0.00000000e+00 1.44328993e-15 1.00000000e+00
 4.44089210e-16]",Bayesian,1.0,200
384,"[2.37388623e-01 2.12503626e-16 1.04083409e-17 7.62611377e-01
 0.00000000e+00]",Bayesian,5.0,50
385,"[0.00000000e+00 1.73472348e-18 2.58473798e-16 1.00000000e+00
 7.80625564e-16]",Bayesian,5.0,100
386,"[7.73521611e-02 9.02056208e-17 0.00000000e+00 9.22647839e-01
 8.43075609e-16]",Bayesian,5.0,200
387,"[0.00000000e+00 0.00000000e+00 4.82180962e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50
388,"[0.00000000e+00 2.11416115e-12 7.49684892e-01 2.50315108e-01
 4.29630441e-12]",Bayesian,0.1,100
389,[0.         0.         0.05037792 0.94962208 0.        ],Bayesian,0.1,200
390,"[0.00000000e+00 0.00000000e+00 3.10862447e-15 1.00000000e+00
 4.05231404e-15]",Bayesian,1.0,50
391,"[5.55111512e-17 0.00000000e+00 1.60982339e-15 1.00000000e+00
 9.71445147e-16]",Bayesian,1.0,100
392,"[0.00000000e+00 6.10622664e-16 2.99760217e-15 1.00000000e+00
 6.43929354e-15]",Bayesian,1.0,200
393,"[4.31710142e-01 0.00000000e+00 0.00000000e+00 5.68289858e-01
 3.68628739e-16]",Bayesian,5.0,50
394,"[2.77555756e-17 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.45716772e-16]",Bayesian,5.0,100
395,"[2.63677968e-16 2.39391840e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
396,"[3.26350058e-13 4.67320627e-13 0.00000000e+00 1.00000000e+00
 1.28086430e-12]",Bayesian,0.1,50
397,"[6.13120665e-13 2.51881849e-12 0.00000000e+00 1.00000000e+00
 4.54206117e-12]",Bayesian,0.1,100
398,[0.         0.         0.37627285 0.62372715 0.        ],Bayesian,0.1,200
399,"[0.00000000e+00 6.38378239e-16 0.00000000e+00 1.00000000e+00
 5.27355937e-15]",Bayesian,1.0,50
400,"[1.69309011e-15 0.00000000e+00 3.33066907e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
401,"[8.88178420e-16 1.27675648e-15 9.43689571e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
402,"[3.28935312e-01 2.07299455e-16 3.98986399e-17 6.71064688e-01
 0.00000000e+00]",Bayesian,5.0,50
403,[0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00 7.2858386e-17],Bayesian,5.0,100
404,"[1.61013439e-01 0.00000000e+00 0.00000000e+00 8.38986561e-01
 1.38777878e-16]",Bayesian,5.0,200
405,"[8.40438830e-14 4.04898337e-13 0.00000000e+00 1.00000000e+00
 6.02018435e-13]",Bayesian,0.1,50
406,"[8.23674462e-13 3.06171755e-12 0.00000000e+00 1.00000000e+00
 5.48108781e-12]",Bayesian,0.1,100
407,"[1.76469650e-11 1.81062735e-11 1.29494531e-01 8.70505469e-01
 2.39784438e-11]",Bayesian,0.1,200
408,"[0.00000000e+00 0.00000000e+00 4.19109192e-15 1.00000000e+00
 3.33066907e-15]",Bayesian,1.0,50
409,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.55351296e-15]",Bayesian,1.0,100
410,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.05311332e-15]",Bayesian,1.0,200
411,"[3.74153793e-01 0.00000000e+00 3.29597460e-17 6.25846207e-01
 0.00000000e+00]",Bayesian,5.0,50
412,"[4.41431871e-01 9.36750677e-17 1.02782366e-16 5.58568129e-01
 0.00000000e+00]",Bayesian,5.0,100
413,"[1.24900090e-16 0.00000000e+00 6.24500451e-17 1.00000000e+00
 1.94289029e-16]",Bayesian,5.0,200
414,"[1.60423783e-13 0.00000000e+00 6.82906352e-01 3.17093648e-01
 0.00000000e+00]",Bayesian,0.1,50
415,[0.0000000e+00 0.0000000e+00 4.1210646e-12 1.0000000e+00 0.0000000e+00],Bayesian,0.1,100
416,"[4.93979121e-11 5.30602253e-11 1.07481533e-01 8.92518467e-01
 6.64642815e-11]",Bayesian,0.1,200
417,"[5.55111512e-17 0.00000000e+00 7.21644966e-16 1.00000000e+00
 3.05311332e-16]",Bayesian,1.0,50
418,"[0.00000000e+00 1.66533454e-15 0.00000000e+00 1.00000000e+00
 3.10862447e-15]",Bayesian,1.0,100
419,"[3.33066907e-16 6.66133815e-16 3.88578059e-16 1.00000000e+00
 1.49880108e-15]",Bayesian,1.0,200
420,"[0.00000000e+00 6.97358837e-16 6.59194921e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
421,"[5.93928951e-01 0.00000000e+00 0.00000000e+00 4.06071049e-01
 2.42861287e-16]",Bayesian,5.0,100
422,"[1.30369702e-03 1.24900090e-16 0.00000000e+00 9.98696303e-01
 0.00000000e+00]",Bayesian,5.0,200
423,"[1.50207624e-12 6.40129616e-12 0.00000000e+00 1.00000000e+00
 1.15278342e-11]",Bayesian,0.1,50
424,[0.         0.         0.67637168 0.32362832 0.        ],Bayesian,0.1,100
425,[0.         0.         0.09510196 0.90489804 0.        ],Bayesian,0.1,200
426,"[1.89575645e-15 4.38930113e-15 1.89054099e-01 8.10945901e-01
 6.81302682e-15]",Bayesian,1.0,50
427,"[2.70457081e-14 1.59909859e-14 1.30247206e-01 8.69752794e-01
 3.56580758e-14]",Bayesian,1.0,100
428,"[1.66533454e-16 0.00000000e+00 1.22124533e-15 1.00000000e+00
 4.55191440e-15]",Bayesian,1.0,200
429,"[4.16333634e-17 0.00000000e+00 9.71445147e-17 1.00000000e+00
 2.74086309e-16]",Bayesian,5.0,50
430,"[2.10870249e-01 1.43982049e-16 0.00000000e+00 7.89129751e-01
 0.00000000e+00]",Bayesian,5.0,100
431,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.89805982e-16]",Bayesian,5.0,200
432,[0.        0.        0.0261188 0.9738812 0.       ],Bayesian,0.1,50
433,"[3.64750395e-13 3.30273825e-12 7.41964255e-01 2.58035745e-01
 6.52954459e-12]",Bayesian,0.1,100
434,[0.         0.         0.22711892 0.77288108 0.        ],Bayesian,0.1,200
435,[0.         0.         0.03176777 0.96823223 0.        ],Bayesian,1.0,50
436,"[7.49400542e-16 6.66133815e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100
437,"[1.94289029e-16 2.77555756e-16 6.38378239e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200
438,"[4.36180891e-01 4.23272528e-16 0.00000000e+00 5.63819109e-01
 5.89805982e-16]",Bayesian,5.0,50
439,"[0.00000000e+00 3.60822483e-16 1.17961196e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
440,"[3.50965154e-01 0.00000000e+00 3.03576608e-17 6.49034846e-01
 0.00000000e+00]",Bayesian,5.0,200
441,[0.         0.         0.58923616 0.41076384 0.        ],Bayesian,0.1,50
442,"[0.00000000e+00 4.47073975e-12 7.99181483e-01 2.00818517e-01
 9.20135185e-12]",Bayesian,0.1,100
443,"[3.46625717e-11 3.88774706e-11 5.39941002e-02 9.46005900e-01
 4.85885509e-11]",Bayesian,0.1,200
444,"[0.00000000e+00 0.00000000e+00 2.72004641e-15 1.00000000e+00
 1.10467191e-14]",Bayesian,1.0,50
445,"[1.66533454e-16 0.00000000e+00 5.55111512e-16 1.00000000e+00
 1.88737914e-15]",Bayesian,1.0,100
446,[0.         0.         0.01423876 0.98576124 0.        ],Bayesian,1.0,200
447,"[0.00000000e+00 1.07552856e-16 1.12757026e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50
448,"[1.60207891e-01 2.67147415e-16 0.00000000e+00 8.39792109e-01
 0.00000000e+00]",Bayesian,5.0,100
449,"[8.64967838e-02 2.08166817e-16 0.00000000e+00 9.13503216e-01
 0.00000000e+00]",Bayesian,5.0,200
450,"[5.79127395e-13 4.04092349e-12 3.81739756e-01 6.18260244e-01
 7.69884429e-12]",Bayesian,0.1,50
451,"[0.00000000e+00 3.90965038e-13 0.00000000e+00 1.00000000e+00
 3.50081075e-13]",Bayesian,0.1,100
452,[0.         0.         0.32112381 0.67887619 0.        ],Bayesian,0.1,200
453,[0.         0.         0.04768971 0.95231029 0.        ],Bayesian,1.0,50
454,"[4.44089210e-16 0.00000000e+00 0.00000000e+00 1.00000000e+00
 6.66133815e-16]",Bayesian,1.0,100
455,"[4.16333634e-16 2.22044605e-16 0.00000000e+00 1.00000000e+00
 7.07767178e-15]",Bayesian,1.0,200
456,[0.         0.         0.12233061 0.87766939 0.        ],Bayesian,5.0,50
457,"[4.85722573e-16 0.00000000e+00 1.76941795e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
458,"[4.16333634e-17 0.00000000e+00 2.25514052e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200
459,"[1.04829945e-13 0.00000000e+00 5.03181255e-01 4.96818745e-01
 0.00000000e+00]",Bayesian,0.1,50
460,"[9.70666041e-11 1.11135285e-10 9.84799292e-02 9.01520070e-01
 1.45843693e-10]",Bayesian,0.1,100
461,"[1.26218480e-12 3.91131572e-12 0.00000000e+00 1.00000000e+00
 7.47110707e-12]",Bayesian,0.1,200
462,"[2.05391260e-15 1.60982339e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50
463,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.49560397e-15]",Bayesian,1.0,100
464,"[0.00000000e+00 8.60422844e-16 0.00000000e+00 1.00000000e+00
 2.72004641e-15]",Bayesian,1.0,200
465,"[2.22044605e-16 0.00000000e+00 3.12250226e-16 1.00000000e+00
 5.75928194e-16]",Bayesian,5.0,50
466,"[2.62376926e-16 9.64939934e-18 7.68699340e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100
467,"[3.18859454e-01 0.00000000e+00 0.00000000e+00 6.81140546e-01
 1.84748050e-16]",Bayesian,5.0,200
468,"[1.24308897e-12 3.88056254e-12 0.00000000e+00 1.00000000e+00
 7.23429650e-12]",Bayesian,0.1,50
